Mass,logT,logL,Age,Global_tauc,Local_tauc,I_Con_Core,I_Rad_Zone,I_Con_Env,Total,U,B,V,R,I,J,H,K,U,B,V,R,I
0.15,3.50961,-2.53866,0.500,3.398e+02,1.628e+02,0.000e+00,0.000e+00,8.922e+51,8.922e+51,16.391,15.056,13.425,12.221,10.701,9.254,8.640,8.385,16.110,14.982,13.420,12.265,10.819
0.20,3.52474,-2.28585,0.500,3.679e+02,1.784e+02,0.000e+00,0.000e+00,1.839e+52,1.839e+52,15.172,14.000,12.464,11.357,9.986,8.666,8.041,7.805,15.259,14.095,12.563,11.471,10.129
0.25,3.53505,-2.10378,0.500,4.086e+02,2.030e+02,0.000e+00,0.000e+00,3.166e+52,3.166e+52,14.472,13.316,11.788,10.719,9.484,8.282,7.652,7.432,14.575,13.434,11.939,10.896,9.634
0.30,3.54339,-1.95807,0.500,4.930e+02,2.565e+02,0.000e+00,0.000e+00,4.907e+52,4.907e+52,13.896,12.761,11.247,10.214,9.089,7.976,7.339,7.133,14.069,12.916,11.442,10.436,9.238
0.35,3.55082,-1.81901,0.500,3.584e+02,1.718e+02,1.330e+51,2.140e+51,6.991e+52,7.338e+52,13.457,12.308,10.809,9.802,8.729,7.641,7.006,6.806,13.596,12.440,10.986,10.004,8.864
0.40,3.55929,-1.69122,0.500,2.221e+02,1.133e+02,7.920e+50,2.080e+52,7.952e+52,1.011e+53,13.042,11.873,10.398,9.422,8.402,7.332,6.694,6.503,13.163,11.983,10.545,9.588,8.515
0.45,3.56950,-1.55867,0.500,1.769e+02,9.196e+01,7.784e+50,4.435e+52,8.833e+52,1.334e+53,12.600,11.402,9.949,9.008,8.056,7.014,6.377,6.195,12.653,11.470,10.061,9.135,8.148
0.50,3.58154,-1.42169,0.500,1.468e+02,7.728e+01,6.085e+50,7.457e+52,9.507e+52,1.702e+53,12.117,10.895,9.472,8.566,7.680,6.705,6.065,5.897,12.139,10.937,9.561,8.671,7.768
0.55,3.59551,-1.28094,0.500,1.254e+02,6.612e+01,3.030e+50,1.117e+53,9.931e+52,2.114e+53,11.582,10.343,8.958,8.086,7.270,6.406,5.769,5.617,11.577,10.370,9.039,8.188,7.376
0.60,3.61129,-1.13877,0.500,1.068e+02,5.729e+01,6.108e+49,1.517e+53,1.044e+53,2.562e+53,11.029,9.789,8.455,7.638,6.905,6.080,5.443,5.312,10.990,9.790,8.514,7.711,6.984
0.65,3.62846,-0.99758,0.500,9.305e+01,5.012e+01,0.000e+00,1.969e+53,1.070e+53,3.038e+53,10.439,9.230,7.959,7.217,6.580,5.736,5.113,5.002,10.374,9.204,7.995,7.245,6.597
